hour_index,gpu_HP,gpu_Spot,cpu_HP,cpu_Spot,gpu_total,cpu_total
327,6221.5019,0.0,161876.6672,0.0,6221.5019,161876.6672
328,6237.6342,0.0,162384.1544,0.0,6237.6342,162384.1544
329,6203.2052,0.0,162099.1156,0.0,6203.2052,162099.1156
330,6225.9534,0.0,162277.8592,0.0,6225.9534,162277.8592
331,6216.6776,0.0,162185.3258,0.0,6216.6776,162185.3258
332,6249.2411,0.0,162436.3414,0.0,6249.2411,162436.3414
333,6277.2069,0.0,162733.1444,0.0,6277.2069,162733.1444
334,6238.3548,0.0,162163.4228,0.0,6238.3548,162163.4228
335,6217.6074,0.0,161690.1039,0.0,6217.6074,161690.1039
336,5690.0736,0.0,152187.3528,0.0,5690.0736,152187.3528
337,5648.394,0.0,152003.8819,0.0,5648.394,152003.8819
338,5626.7336,0.0,151907.0172,0.0,5626.7336,151907.0172
339,5614.3921,0.0,151848.8811,0.0,5614.3921,151848.8811
340,5595.9404,0.0,151722.2769,0.0,5595.9404,151722.2769
341,5569.5131,0.0,151520.1717,0.0,5569.5131,151520.1717
342,5559.9267,0.0,151468.8706,0.0,5559.9267,151468.8706
343,5547.7092,0.0,151264.0222,0.0,5547.7092,151264.0222
344,5560.7637,0.0,151351.37,0.0,5560.7637,151351.37
345,5544.6373,0.0,151415.6036,0.0,5544.6373,151415.6036
346,5683.5858,0.0,153572.8811,0.0,5683.5858,153572.8811
347,5868.8703,0.0,157569.1589,0.0,5868.8703,157569.1589
348,5887.8327,0.0,157867.9514,0.0,5887.8327,157867.9514
349,5904.0953,0.0,158123.5936,0.0,5904.0953,158123.5936
350,5970.9678,0.0,159299.9003,0.0,5970.9678,159299.9003
351,6020.3419,0.0,160165.8219,0.0,6020.3419,160165.8219
352,6082.398,0.0,160750.7261,0.0,6082.398,160750.7261
353,6169.8088,0.0,161856.6633,0.0,6169.8088,161856.6633
354,6177.6317,0.0,162202.2222,0.0,6177.6317,162202.2222
355,6147.4011,0.0,161914.8722,0.0,6147.4011,161914.8722
356,6148.9849,0.0,162082.5931,0.0,6148.9849,162082.5931
357,6189.8163,0.0,162575.4956,0.0,6189.8163,162575.4956
358,6172.036,0.0,162336.8675,0.0,6172.036,162336.8675
359,6163.5476,0.0,162029.6747,0.0,6163.5476,162029.6747
360,5796.0109,0.0,157789.0656,0.0,5796.0109,157789.0656
361,5796.2406,0.0,157995.5356,0.0,5796.2406,157995.5356
362,5801.6788,0.0,158055.3417,0.0,5801.6788,158055.3417
363,5801.9013,0.0,158064.6628,0.0,5801.9013,158064.6628
364,5782.4583,0.0,157838.4953,0.0,5782.4583,157838.4953
365,5772.2042,0.0,157682.0117,0.0,5772.2042,157682.0117
366,5767.2461,0.0,157757.2406,0.0,5767.2461,157757.2406
367,5782.5155,0.0,157650.4689,0.0,5782.5155,157650.4689
368,5835.9541,0.0,157897.4603,0.0,5835.9541,157897.4603
369,5851.1413,0.0,158037.7931,0.0,5851.1413,158037.7931
370,5869.9986,0.0,158377.4392,0.0,5869.9986,158377.4392
371,5899.2734,0.0,158967.6067,0.0,5899.2734,158967.6067
